Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,
31/12/2022,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,
01/01/2023,0.04,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.02,0.05,
02/01/2023,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.02,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.05,0.02,
03/01/2023,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.06,0.02,0.01,0.01,0.05,0.05,0.02,0.01,0.01,0.01,0.01,0.05,0.04,0.01,0.01,0.01,0.01,0.03,0.05,0.01,
04/01/2023,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.05,0.04,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,
05/01/2023,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.01,
06/01/2023,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.04,0.01,0.01,0.01,
07/01/2023,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.02,0.05,0.05,0.03,0.03,0.01,0.18,0.02,0.05,0.05,0.04,0.02,0.06,0.06,0.06,0.07,0.07,0.05,0.01,0.01,
08/01/2023,0.01,0.01,0.03,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.18,0.09,0.04,0.04,0.14,0.07,0.04,0.03,0.02,0.11,0.07,0.1,0.05,0.05,0.8,0.55,0.02,0.19,0.06,0.06,0.02,0.05,0.05,0.03,0.01,0.01,
09/01/2023,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.18,0.04,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.02,0.01,0.01,0.01,0.04,0.03,0.01,0.01,0.01,0.03,0.04,0.01,0.01,0.01,0.01,0.22,0.52,0.16,0.01,0.03,0.03,0.01,0.01,
